,Unnamed: 0,word,word_onsets,word_offsets,cloze_pre_rep,cloze_post_rep,cloze_MemEffect_rep,boundary,agreement
334,334,a,151.2450000366211,151.27499991577147,0.52,0.82,0.2999999999999999,,
335,335,name,151.27499991577147,151.88500003051757,0.26,0.68,0.42,,
336,336,i,152.1349999804687,152.21499995727538,0.06,0.4,0.34,,
337,337,called,152.21499995727538,152.4250000085449,0.26,0.46,0.2,,
338,338,him,152.4250000085449,152.52500002441406,0.58,0.78,0.2,,
339,339,pie,152.52500002441406,152.8449999316406,0.06,0.46,0.4,,
340,340,man,152.8449999316406,153.13499995971677,0.32,0.78,0.46,,
341,341,capital,153.13499995971677,153.46500006591796,0.0,0.3,0.3,,
342,342,p,153.46500006591796,153.8950000085449,0.52,0.74,0.2199999999999999,,
343,343,capital,153.9850000048828,154.38500006835935,0.28,0.6,0.3199999999999999,,
344,344,m,154.38500006835935,154.7049999755859,0.6,0.78,0.18,,
345,345,and,155.50499992309568,155.65500003662106,0.46,0.56,0.1,,
346,346,i,155.65500003662106,155.69499993530272,0.44,0.52,0.08,,
347,347,described,155.69499993530272,156.18499999511715,0.02,0.1,0.08,,
348,348,him,156.18499999511715,156.28500001098632,0.64,0.66,0.02,,
349,349,as,156.28500001098632,156.40500006591793,0.68,0.72,0.0399999999999999,,
350,350,a,156.40500006591793,156.43499994506834,0.6,0.56,-0.0399999999999999,,
351,351,cape,156.43499994506834,156.8149999694824,0.0,0.24,0.24,,
352,352,wearing,156.8149999694824,157.20500001342774,0.4,0.54,0.14,,
353,353,masked,157.20500001342774,157.7950000891113,0.02,0.14,0.12,,
354,354,avenger,157.7950000891113,158.40500002441405,0.0,0.16,0.16,,
355,355,though,159.9349999621582,159.9950000793457,0.0,0.12,0.12,,
356,356,in,159.92499994262693,160.07500005615233,0.0,0.12,0.12,,
357,357,fact,160.07500005615233,160.34500004516602,0.0,0.16,0.16,,
358,358,hed,160.34500004516602,160.4649999206543,0.0,0.1,0.1,,
359,359,been,160.4649999206543,160.60500001464845,0.16,0.24,0.0799999999999999,,
360,360,capeless,160.60500001464845,161.2650000476074,0.0,0.1,0.1,,
